IAB,Unique ID,Parent,Name,Tier 1,Tier 2,Tier 3,Tier 4,
Automotive Automotive,1,,Automotive,Automotive,,,,
Auto Body Styles Automotive Auto Body Styles,2,1,Auto Body Styles,Automotive,Auto Body Styles,,,
Commercial Trucks Automotive Auto Body Styles Commercial Trucks,3,2,Commercial Trucks,Automotive,Auto Body Styles,Commercial Trucks,,
Sedan Automotive Auto Body Styles Sedan,4,2,Sedan,Automotive,Auto Body Styles,Sedan,,
Station Wagon Automotive Auto Body Styles Station Wagon,5,2,Station Wagon,Automotive,Auto Body Styles,Station Wagon,,
SUV Automotive Auto Body Styles SUV,6,2,SUV,Automotive,Auto Body Styles,SUV,,
Van Automotive Auto Body Styles Van,7,2,Van,Automotive,Auto Body Styles,Van,,
Convertible Automotive Auto Body Styles Convertible,8,2,Convertible,Automotive,Auto Body Styles,Convertible,,
Coupe Automotive Auto Body Styles Coupe,9,2,Coupe,Automotive,Auto Body Styles,Coupe,,
Crossover Automotive Auto Body Styles Crossover,10,2,Crossover,Automotive,Auto Body Styles,Crossover,,
Hatchback Automotive Auto Body Styles Hatchback,11,2,Hatchback,Automotive,Auto Body Styles,Hatchback,,
Microcar Automotive Auto Body Styles Microcar,12,2,Microcar,Automotive,Auto Body Styles,Microcar,,
Minivan Automotive Auto Body Styles Minivan,13,2,Minivan,Automotive,Auto Body Styles,Minivan,,
Off-Road Vehicles Automotive Auto Body Styles Off-Road Vehicles,14,2,Off-Road Vehicles,Automotive,Auto Body Styles,Off-Road Vehicles,,
Pickup Trucks Automotive Auto Body Styles Pickup Trucks,15,2,Pickup Trucks,Automotive,Auto Body Styles,Pickup Trucks,,
Auto Type Automotive Auto Type,16,1,Auto Type,Automotive,Auto Type,,,
Budget Cars Automotive Auto Type Budget Cars,17,16,Budget Cars,Automotive,Auto Type,Budget Cars,,
Certified Pre-Owned Cars Automotive Auto Type Certified Pre-Owned Cars,18,16,Certified Pre-Owned Cars,Automotive,Auto Type,Certified Pre-Owned Cars,,
Classic Cars Automotive Auto Type Classic Cars,19,16,Classic Cars,Automotive,Auto Type,Classic Cars,,
Concept Cars Automotive Auto Type Concept Cars,20,16,Concept Cars,Automotive,Auto Type,Concept Cars,,
Driverless Cars Automotive Auto Type Driverless Cars,21,16,Driverless Cars,Automotive,Auto Type,Driverless Cars,,
Green Vehicles Automotive Auto Type Green Vehicles,22,16,Green Vehicles,Automotive,Auto Type,Green Vehicles,,
Luxury Cars Automotive Auto Type Luxury Cars,23,16,Luxury Cars,Automotive,Auto Type,Luxury Cars,,
Performance Cars Automotive Auto Type Performance Cars,24,16,Performance Cars,Automotive,Auto Type,Performance Cars,,
Car Culture Automotive Car Culture,25,1,Car Culture,Automotive,Car Culture,,,
Dash Cam Videos Automotive Dash Cam Videos,26,1,Dash Cam Videos,Automotive,Dash Cam Videos,,,
Motorcycles Automotive Motorcycles,27,1,Motorcycles,Automotive,Motorcycles,,,
Road-Side Assistance Automotive Road-Side Assistance,28,1,Road-Side Assistance,Automotive,Road-Side Assistance,,,
Scooters Automotive Scooters,29,1,Scooters,Automotive,Scooters,,,
Auto Buying and Selling Automotive Auto Buying and Selling,30,1,Auto Buying and Selling,Automotive,Auto Buying and Selling,,,
Auto Insurance Automotive Auto Insurance,31,1,Auto Insurance,Automotive,Auto Insurance,,,
Auto Parts Automotive Auto Parts,32,1,Auto Parts,Automotive,Auto Parts,,,
Auto Recalls Automotive Auto Recalls,33,1,Auto Recalls,Automotive,Auto Recalls,,,
Auto Repair Automotive Auto Repair,34,1,Auto Repair,Automotive,Auto Repair,,,
Auto Safety Automotive Auto Safety,35,1,Auto Safety,Automotive,Auto Safety,,,
Auto Shows Automotive Auto Shows,36,1,Auto Shows,Automotive,Auto Shows,,,
Auto Technology Automotive Auto Technology,37,1,Auto Technology,Automotive,Auto Technology,,,
Auto Infotainment Technologies Automotive Auto Technology Auto Infotainment Technologies,38,37,Auto Infotainment Technologies,Automotive,Auto Technology,Auto Infotainment Technologies,,
Auto Navigation Systems Automotive Auto Technology Auto Navigation Systems,39,37,Auto Navigation Systems,Automotive,Auto Technology,Auto Navigation Systems,,
Auto Safety Technologies Automotive Auto Technology Auto Safety Technologies,40,37,Auto Safety Technologies,Automotive,Auto Technology,Auto Safety Technologies,,
Auto Rentals Automotive Auto Rentals,41,1,Auto Rentals,Automotive,Auto Rentals,,,
Books and Literature Books and Literature,42,,Books and Literature,Books and Literature,,,,
Art and Photography Books Books and Literature Art and Photography Books,43,42,Art and Photography Books,Books and Literature,Art and Photography Books,,,
Biographies Books and Literature Biographies,44,42,Biographies,Books and Literature,Biographies,,,
Children's Literature Books and Literature Children's Literature,45,42,Children's Literature,Books and Literature,Children's Literature,,,
Comics and Graphic Novels Books and Literature Comics and Graphic Novels,46,42,Comics and Graphic Novels,Books and Literature,Comics and Graphic Novels,,,
Cookbooks Books and Literature Cookbooks,47,42,Cookbooks,Books and Literature,Cookbooks,,,
Fiction Books and Literature Fiction,48,42,Fiction,Books and Literature,Fiction,,,
Poetry Books and Literature Poetry,49,42,Poetry,Books and Literature,Poetry,,,
Travel Books Books and Literature Travel Books,50,42,Travel Books,Books and Literature,Travel Books,,,
Young Adult Literature Books and Literature Young Adult Literature,51,42,Young Adult Literature,Books and Literature,Young Adult Literature,,,
Business and Finance Business and Finance,52,,Business and Finance,Business and Finance,,,,
Business Business and Finance Business,53,52,Business,Business and Finance,Business,,,
Business Accounting & Finance Business and Finance Business Business Accounting & Finance,54,53,Business Accounting & Finance,Business and Finance,Business,Business Accounting & Finance,,
Human Resources Business and Finance Business Human Resources,55,53,Human Resources,Business and Finance,Business,Human Resources,,
Large Business Business and Finance Business Large Business,56,53,Large Business,Business and Finance,Business,Large Business,,
Logistics Business and Finance Business Logistics,57,53,Logistics,Business and Finance,Business,Logistics,,
Marketing and Advertising Business and Finance Business Marketing and Advertising,58,53,Marketing and Advertising,Business and Finance,Business,Marketing and Advertising,,
Sales Business and Finance Business Sales,59,53,Sales,Business and Finance,Business,Sales,,
Small and Medium-sized Business Business and Finance Business Small and Medium-sized Business,60,53,Small and Medium-sized Business,Business and Finance,Business,Small and Medium-sized Business,,
Startups Business and Finance Business Startups,61,53,Startups,Business and Finance,Business,Startups,,
Business Administration Business and Finance Business Business Administration,62,53,Business Administration,Business and Finance,Business,Business Administration,,
Business Banking & Finance Business and Finance Business Business Banking & Finance,63,53,Business Banking & Finance,Business and Finance,Business,Business Banking & Finance,,
Angel Investment Business and Finance Business Business Banking & Finance Angel Investment,64,63,Angel Investment,Business and Finance,Business,Business Banking & Finance,Angel Investment,
Bankruptcy Business and Finance Business Business Banking & Finance Bankruptcy,65,63,Bankruptcy,Business and Finance,Business,Business Banking & Finance,Bankruptcy,
Business Loans Business and Finance Business Business Banking & Finance Business Loans,66,63,Business Loans,Business and Finance,Business,Business Banking & Finance,Business Loans,
Debt Factoring & Invoice Discounting Business and Finance Business Business Banking & Finance Debt Factoring & Invoice Discounting,67,63,Debt Factoring & Invoice Discounting,Business and Finance,Business,Business Banking & Finance,Debt Factoring & Invoice Discounting,
Mergers and Acquisitions Business and Finance Business Business Banking & Finance Mergers and Acquisitions,68,63,Mergers and Acquisitions,Business and Finance,Business,Business Banking & Finance,Mergers and Acquisitions,
Private Equity Business and Finance Business Business Banking & Finance Private Equity,69,63,Private Equity,Business and Finance,Business,Business Banking & Finance,Private Equity,
Sale & Lease Back Business and Finance Business Business Banking & Finance Sale & Lease Back,70,63,Sale & Lease Back,Business and Finance,Business,Business Banking & Finance,Sale & Lease Back,
Venture Capital Business and Finance Business Business Banking & Finance Venture Capital,71,63,Venture Capital,Business and Finance,Business,Business Banking & Finance,Venture Capital,
Business I.T. Business and Finance Business Business I.T.,72,53,Business I.T.,Business and Finance,Business,Business I.T.,,
Business Operations Business and Finance Business Business Operations,73,53,Business Operations,Business and Finance,Business,Business Operations,,
Consumer Issues Business and Finance Business Consumer Issues,74,53,Consumer Issues,Business and Finance,Business,Consumer Issues,,
Recalls Business and Finance Business Consumer Issues Recalls,75,74,Recalls,Business and Finance,Business,Consumer Issues,Recalls,
Executive Leadership & Management Business and Finance Business Executive Leadership & Management,76,53,Executive Leadership & Management,Business and Finance,Business,Executive Leadership & Management,,
Government Business Business and Finance Business Government Business,77,53,Government Business,Business and Finance,Business,Government Business,,
Green Solutions Business and Finance Business Green Solutions,78,53,Green Solutions,Business and Finance,Business,Green Solutions,,
Business Utilities Business and Finance Business Business Utilities,79,53,Business Utilities,Business and Finance,Business,Business Utilities,,
Economy Business and Finance Economy,80,52,Economy,Business and Finance,Economy,,,
Commodities Business and Finance Economy Commodities,81,80,Commodities,Business and Finance,Economy,Commodities,,
Currencies Business and Finance Economy Currencies,82,80,Currencies,Business and Finance,Economy,Currencies,,
Financial Crisis Business and Finance Economy Financial Crisis,83,80,Financial Crisis,Business and Finance,Economy,Financial Crisis,,
Financial Reform Business and Finance Economy Financial Reform,84,80,Financial Reform,Business and Finance,Economy,Financial Reform,,
Financial Regulation Business and Finance Economy Financial Regulation,85,80,Financial Regulation,Business and Finance,Economy,Financial Regulation,,
Gasoline Prices Business and Finance Economy Gasoline Prices,86,80,Gasoline Prices,Business and Finance,Economy,Gasoline Prices,,
